Revision,Author,Date,Cyclomatic Complexity,Maintainability Index,Lines of Code,Unique Operands
30a1608,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
6831d2d,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
a5bcc9c,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
186dcee,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
caf91bd,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
80562c9,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
2256fd2,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
316f748,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
c6ab21c,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
1d41e8d,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
80c7cbd,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
775813a,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
cbccc5f,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
26466b5,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
042ccfc,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
24e46d0,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
70cc902,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
0916044,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
b639f17,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
33f41b8,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
73a6594,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
2e99281,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
0f9bcfb,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
fcde691,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
b08073a,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
e1eb569,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
8d09a80,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
8074cc8,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
8e19074,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
30c128a,Kenneth Reitz,2019-09-18,8 (0),100 (0.0),161 (0),0 (0)
65a73bd,Kenneth Reitz,2019-09-18,8 (0),100 (0),161 (0),0 (0)
